,Date,AAPL,ABT,AMZN,ASML,AVGO,BHP,GOOG,GOOGL,JPM,MRK,MSFT,NVO,TMUS,V,WFC,WMT
0,2018-06-11 00:00:00,47.8074989318848,63.1300010681152,1689.11999511719,209.860000610352,260.829986572266,51.8300018310547,1129.98999023438,1140.90002441406,110.830001831055,59.4751892089844,101.050003051758,44.8300018310547,57.9900016784668,133.910003662109,55.5099983215332,84.3000030517578
1,2018-06-12 00:00:00,48.0699996948242,62.9199981689453,1698.75,209.339996337891,261.429992675781,51.1399993896484,1139.31994628906,1148.18994140625,110.190002441406,59.5801544189453,101.309997558594,44.2900009155273,58.0900001525879,134.860000610352,55.3800010681152,84.0999984741211
2,2018-06-13 00:00:00,47.6749992370606,62.6300010681152,1704.85998535156,213.75,263.579986572266,50.689998626709,1134.7900390625,1144.22998046875,109.970001220703,59.7232818603516,100.849998474121,44.5,58.6800003051758,134.399993896484,55.1599998474121,84.0899963378906
3,2018-06-14 00:00:00,47.7000007629395,62.9599990844727,1723.85998535156,215.889999389648,268.459991455078,50.3600006103516,1152.11999511719,1160.10998535156,108.029998779297,58.7404594421387,101.419998168945,44.6500015258789,59.5299987792969,135,54.7400016784668,83.7900009155274
4,2018-06-15 00:00:00,47.2099990844727,62.9099998474121,1715.96997070313,214.820007324219,270.230010986328,48.7000007629395,1152.26000976563,1159.27001953125,107.900001525879,59.1889305114746,100.129997253418,44.8400001525879,60.0099983215332,135.100006103516,54.9799995422363,83.6999969482422
5,2018-06-18 00:00:00,47.185001373291,62.8199996948242,1723.7900390625,211.100006103516,264.5,48.9700012207031,1173.4599609375,1183.57995605469,108.180000305176,58.1965637207031,100.860000610352,44.75,60.3600006103516,136.199996948242,55.0800018310547,83
6,2018-06-19 00:00:00,46.4225006103516,62.3400001525879,1734.78002929688,206.179992675781,260.950012207031,47.6399993896484,1168.06005859375,1178.68994140625,107.550003051758,58.234733581543,100.860000610352,44.6699981689453,60.5400009155273,135.110000610352,55.0800018310547,83.6100006103516
7,2018-06-20 00:00:00,46.625,62.1399993896484,1750.07995605469,205.5,261.220001220703,47.7700004577637,1169.83996582031,1184.06994628906,107.540000915527,58.4732818603516,101.870002746582,45.6500015258789,60.3400001525879,135.5,54.4799995422363,83.6100006103516
8,2018-06-21 00:00:00,46.3650016784668,61.75,1730.21997070313,204.240005493164,259.649993896484,47.8800010681152,1157.66003417969,1169.43994140625,107.51000213623,58.3778648376465,101.139999389648,46.4000015258789,60,134.529998779297,54.3699989318848,84.2099990844727
9,2018-06-22 00:00:00,46.2299995422363,61.939998626709,1715.67004394531,206.369995117188,259.709991455078,48.9300003051758,1155.47998046875,1169.2900390625,105.75,58.6545791625977,100.410003662109,46.8400001525879,60.7900009155273,135.330001831055,53.939998626709,84.8199996948242
10,2018-06-25 00:00:00,45.5424995422363,60.7700004577637,1663.15002441406,196.649993896484,252.419998168945,47.6399993896484,1124.81005859375,1139.28002929688,104.790000915527,58.2824440002441,98.3899993896484,46.9700012207031,59.7299995422363,130.929992675781,53.9599990844727,86.4700012207031
11,2018-06-26 00:00:00,46.1074981689453,60.810001373291,1691.08996582031,197.970001220703,251.539993286133,48.8300018310547,1118.4599609375,1132.61999511719,104.860000610352,57.9389305114746,99.0800018310547,46.0800018310547,59.7000007629395,132.550003051758,53.4300003051758,85.9800033569336
12,2018-06-27 00:00:00,46.0400009155273,60.4900016784668,1660.51000976563,193.899993896484,247.110000610352,49.310001373291,1103.97998046875,1116.93994140625,103.23999786377,57.1374053955078,97.5400009155274,45.4300003051758,59.3400001525879,131.020004272461,53.2799987792969,86.8899993896484
13,2018-06-28 00:00:00,46.375,61.2700004577637,1701.44995117188,193.580001831055,244.899993896484,50.0200004577637,1114.21997070313,1126.78002929688,104.930000305176,57.5381698608399,98.629997253418,45.4799995422363,59.8600006103516,132.740005493164,53.6300010681152,85.8600006103516
14,2018-06-29 00:00:00,46.2775001525879,60.9900016784668,1699.80004882813,197.970001220703,242.639999389648,50.0099983215332,1115.65002441406,1129.18994140625,104.199996948242,57.9198455810547,98.6100006103516,46.1199989318848,59.75,132.449996948242,55.439998626709,85.6500015258789
15,2018-07-02 00:00:00,46.7949981689453,61,1713.78002929688,195.25,242.050003051758,48.5699996948242,1127.4599609375,1142.10998535156,105.080001831055,57.6908416748047,100.01000213623,46.7599983215332,59.9099998474121,132.5,56.3199996948242,84
16,2018-07-03 00:00:00,45.9799995422363,60.810001373291,1693.9599609375,191.470001220703,239.289993286133,48.7099990844727,1102.89001464844,1116.28002929688,103.610000610352,57.9293899536133,99.0500030517578,46.9700012207031,59.1399993896484,131.449996948242,55.560001373291,84.4400024414063
17,2018-07-05 00:00:00,46.3499984741211,61.3300018310547,1699.72998046875,195.990005493164,245.399993896484,48.689998626709,1124.27001953125,1141.2900390625,103.720001220703,58.8167953491211,99.7600021362305,47.810001373291,60.060001373291,133.289993286133,55.2400016784668,84.5699996948242
18,2018-07-06 00:00:00,46.9925003051758,62.1599998474121,1710.63000488281,197.320007324219,247.679992675781,49.5800018310547,1140.17004394531,1155.07995605469,104.059997558594,59.351146697998,101.160003662109,48.4099998474121,61.1399993896484,134.089996337891,55.8899993896484,84.5100021362305
19,2018-07-09 00:00:00,47.6450004577637,62.439998626709,1739.02001953125,199.110000610352,247.429992675781,50.8300018310547,1154.05004882813,1167.28002929688,107.279998779297,59.1793899536133,101.849998474121,48.6599998474121,61.3400001525879,135.520004272461,56.7700004577637,85.9300003051758
